Symbiota ID,Catalog Number,Other Catalog #,Family,ID Qualifier,Scientific Name,Author,Collector,Collector Number,Associated Collectors,Event Date,Verbatim Date,Identified By,Date Identified,Country,Locality,Latitude,Longitude,Uncertainty In Meters,Georeferenced By,Georeference Protocol,Georeference Sources,Georef Remarks,Elev. Min. (m),Elev. Max. (m),Habitat,Substrate,Notes (Occurrence Remarks),Associated Taxa,Description,Date Last Modified,Processing Status,Entered By,Basis Of Record,Language,Continent
https://fm-digital-assets.fieldmuseum.org/490/688/C1044209F.jpg,C1044209F,,Bryaceae,,Bryum caespiticium,Hedw.,E. D. Merrill,,,1898-11-04,1898-11-4,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/490/698/C1044221F.jpg,C1044221F,,Bryaceae,,Bryum caespiticium,Hedw.,unknown,288,,,,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/490/700/C1044225F.jpg,C1044225F,,Bryaceae,,Bryum caespiticium,Hedw.,E. Hall,,,1862-00-00,1862,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/490/702/C1044227F.jpg,C1044227F,,Bryaceae,,Bryum caespiticium,Hedw.,L. N. Johnson,,,1889-07-13,1889-7-13,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/490/704/C1044231F.jpg,C1044231F,,Bryaceae,,Bryum caespiticium,Hedw.,P. M. Patterson,226,,1929-07-17,1929-7-17,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/490/711/C1044240F.jpg,C1044240F,,Mniaceae,,Mnium affine,Blandow ex Funck,unknown,s.n.,,1893-08-00,1893-8,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/490/727/C1044262F.jpg,C1044262F,,Bryaceae,,Bryum blindii,Bruch & Schimp.,L. Holmberg,887,,1968-09-09,1968-9-9,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/490/728/C1044263F.jpg,C1044263F,,Bryaceae,,Bryum caespiticium,Hedw.,J. Fowler,,,1869-05-25,1869-5-25,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/490/733/C1044268F.jpg,C1044268F,,Bryaceae,,Bryum caespiticium,Hedw.,Wolf & Rothrock,s.n.,,1873-00-00,1873,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/490/734/C1044269F.jpg,C1044269F,,Bryaceae,,Bryum caespiticium,Hedw.,H. Habeeb,89,,1943-06-12,1943-6-12,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/490/746/C1044280F.jpg,C1044280F,,Bryaceae,,Bryum caespiticium,Hedw.,J. T. Rothrock,s.n.,,,s.d.,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/490/777/C1063548F_a.jpg,C1063548F,,Brachytheciaceae,,Bryhnia graminicolor,(Brid.) Grout,unknown,s.n.,,,s.d.,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/490/804/C1063605F.jpg,C1063605F,,Pottiaceae,,Barbula,Hedw.,F. A. MacFadden,s.n.,,,s.d.,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/490/805/C1063606F.jpg,C1063606F,,Pottiaceae,,Barbula,Hedw.,unknown,s.n.,,,s.d.,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/490/830/C1063739F_a.jpg,C1063739F,,Hypnaceae,,Hypnum sullivantii,Spruce,unknown,s.n.,,,s.d.,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/490/833/C1063751F_a.jpg,C1063751F,,Hypnaceae,,Hypnum graminicolor,Brid.,Lanning,s.n.,,1850-10-00,Octo. 1850,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/490/584/C0079143F.jpg,C0079143F,,Bryaceae,,Bryum trichodes,Sm.,unknown,s.n.,,,s.d.,,,,Rocky Mountains,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/490/649/C1043963F.jpg,C1043963F,,Funariaceae,,Funaria serrata,Brid.,F. S. Earle & C. F. Baker,87,,1897-02-14,1897-2-14,,,,,,,,,,,,,,,,,,,2025-10-31 15:50:28,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/490/459/C0074134F.jpg,C0074134F,,Bryaceae,,Bryum trichodes,Sm.,unknown,245,,,s.d.,,,,Rocky Mountains,,,,,,,,,,Marshes,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/497/550/C1056291F.jpg,C1056291F,,Dicranaceae,,Didymodon latifolius,Wahlenb.,unknown,s.n.,,,s.d.,,,,Rocky Mountains,,,,,,,,,,Moist marshy places,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/497/675/C1056517F.jpg,C1056517F,,Dicranaceae,,Dicranum varium,Hedw.,E. Lanning,,,1851-01-00,Jan. 1851,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/493/287/C1049759F_a.jpg,C1049759F,,Pottiaceae,,Barbula fallax,Hedw.,W. C. Steere,s.n.,,1876-01-20,"Jan. 20, 1876",,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/493/561/C1053111F.jpg,C1053111F,,Pottiaceae,,Barbula unguiculata,Hedw.,J. T. Rothrock,s.n.,,,s.d.,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
,C1053182F,,,,,,,,,,,,,,,,,,,,,,,,,,[no image],,,2026-01-22 13:53:56,expert required,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/497/001/C1054330F.jpg,C1054330F,,Dicranaceae,,Dicranum heteromallum,Hedw.,E. Lanning,s.n.,,1850-12-00,Decem. 1850,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/497/042/C1054382F.jpg,C1054382F,,Dicranaceae,,Dicranum gracilescens,F. Weber & D. Mohr,unknown,s.n.,,,s.d.,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/497/066/C1054599F.jpg,C1054599F,,Dicranaceae,,Dicranum interruptum,Hedw.,unknown,s.n.,,1850-04-00,April 1850,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/497/068/C1054605F.jpg,C1054605F,,Dicranaceae,,Dicranum interruptum,Hedw.,unknown,s.n.,,1849-10-00,Oct. 1849,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/497/178/C1055386F.jpg,C1055386F,,Dicranaceae,,Dicranum osmundoides,(Hedw.) Turner,T. Drummond,112,,1825-00-00,1825,,,,Near the Rocky Mountains,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/500/056/C1057022F.jpg,C1057022F,,Grimmiaceae,,Grimmia atrata,Miel. ex Hornsch.,T. Drummond,57,,1828-00-00,1828,,,,Lake Superior,,,,,,,,,,Upon rocks,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/500/063/C1057029F.jpg,C1057029F,,Grimmiaceae,,Grimmia coscinodontoides,Kindb.,J. B. Leiberg,239,,,s.d.,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/500/151/C1057309F.jpg,C1057309F,,Ephemeraceae,,Ephemerum longifolium,Schimp.,unknown,626,,,September,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/500/410/C1057483F_a.jpg,C1057483F,,Pottiaceae,,Hennediella heimii,(Hedw.) R. H. Zander,T. Drummond,s.n.,,1825-00-00,1825-27,,,,,,,,,,,,,,Muddy swamps in the mountains,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/500/434/C1057510F.jpg,C1057510F,,Pottiaceae,,Gymnostomum rupestre,Schleich. ex Schwägr.,unknown,s.n.,,,s.d.,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/500/439/C1057516F.jpg,C1057516F,,Pottiaceae,,Gymnostomum rupestre,Schleich. ex Schwägr.,Wolf & Rothrock,s.n.,,1873-00-00,1873,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/500/532/C1058486F.jpg,C1058486F,,Pottiaceae,,Gymnostomum lapponicum,(Hedw.) F. Weber & D. Mohr,unknown,s.n.,,1825-00-00,1825-27,,,,Lake Superior,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/500/537/C1058492F.jpg,C1058492F,,Pottiaceae,,Gymnostomum ovatum,Hedw.,unknown,18,,,s.d.,,,,Rocky Mountains,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/500/220/C1055963F.jpg,C1055963F,,Dicranaceae,,Dicranum strictum,(Dicks.) Sm.,T. Drummond,s.n.,,,s.d.,,,,Lake Superior,,,,,,,,,,On fallen timber about Lake Superior,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/500/264/C1056005F.jpg,C1056005F,,Dicranaceae,,Dicranum subulatum,Hedw.,T. Drummond,s.n.,,1825-00-00,1825-27,,,,British North America,,,,,,,,,,In banks in alpine situations,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
